L1=0,L2=0,N=464
0X1.4354752AA721EP-3	-0X1.E61F055C43171P-8	-0X1.A4CB1DCCD8826P-7	0X1.4E7EE25F02ED4P-9	
0X1.2D51A28931DC6P-5	0X1.2225102E79E71P-8	-0X1.00EC332240BCCP-10	-0X1.3A25EB1CC725P-11	
0X1.2D51A28931DC6P-5	0X1.2225102E79E71P-8	-0X1.00EC332240BCCP-10	-0X1.3A25EB1CC725P-11	
0X1.AAE329289B6EP-3	-0X1.35DC0A3E787AP-7	-0X1.000193164643AP-6	0X1.9FF9DCB4DAE4FP-9	
0X1.AAE32CBE8A5BP-3	-0X1.53082568022P-9	0X1.2BB02DA4067B6P-6	-0X1.94B17B5DE0A68P-10	
0X1.74B750E60D4FEP-1	0X1.7FA50D51E4215P-5	0X1.7698B4132596DP-4	-0X1.1A2487F2B6938P-6	
0X1.74B3FFDFD49F2P-1	0X1.E1EB067EF6AAP-8	-0X1.A7B8CE6E506BP-4	0X1.43F9ECFACCAD1P-7	
0X1.ABB48070A88E1P-6	-0X1.96114534A2A1CP-12	0X1.0A031750173F4P-9	-0X1.45C4300B19D08P-13	
0X1.ABB47BF9E92DEP-6	-0X1.2B11B3C6BA954P-10	-0X1.BB579705EFC2P-10	0X1.7BBEC5779C27EP-12	
0X1.084D9400AB85AP+0	0X1.0144ED4B3DD64P-4	-0X1.D793C1AA57754P-6	-0X1.C4FAB7D19C19AP-8	
0X1.084C2B4E963CCP+0	0X1.18E696EAB02EBP-4	-0X1.3A2CB81B2AEP-12	-0X1.64373EA83B071P-7	
0X1.514547BFDF30EP-2	-0X1.551D10072454P-5	0X1.2E0ACBE0154CBP-7	0X1.7156160EABF16P-8	
0X1.414E3914C771EP-6	-0X1.323ADD25EC536P-12	0X1.8E8347B82899EP-10	-0X1.E6B775BE75EA8P-14	
0X1.414E3914C771EP-6	-0X1.323ADD25EC536P-12	0X1.8E8347B82899EP-10	-0X1.E6B775BE75EA8P-14	
0X1.414E35B61C062P-6	-0X1.C0FAC533103F6P-11	-0X1.4BDDE84E2B84EP-10	0X1.1CA79BBBE6732P-12	
0X1.414E35B61C062P-6	-0X1.C0FAC533103F6P-11	-0X1.4BDDE84E2B84EP-10	0X1.1CA79BBBE6732P-12	
0X1.2ABC0EB5400C8P-6	0X1.108AC74FBFBB7P-9	-0X1.E2AC0BCBF786CP-12	-0X1.2716CEF89B99AP-12	
0X1.2ABC0EB5400C8P-6	0X1.108AC74FBFBB7P-9	-0X1.E2AC0BCBF786CP-12	-0X1.2716CEF89B99AP-12	
0X1.65BFFB758193DP-6	0X1.4786D5B180E1EP-9	-0X1.22065C4063118P-11	-0X1.629F5B76DFE9EP-12	
0X1.0FCE110F617F6P+0	0X1.479366E0AB274P-3	-0X1.2210D9D619C8CP-5	-0X1.62AD172D67FBBP-6	
-0X1.7032E2A3C8B7P-5	0X1.1649C981F402P-11	-0X1.42FE1472A660CP-8	0X1.CFE0EE378ADC8P-12	
-0X1.7032E2A3C8B7P-5	0X1.1649C981F402P-11	-0X1.42FE1472A660CP-8	0X1.CFE0EE378ADC8P-12	
-0X1.7032E087498CFP-5	0X1.3A0BCA4127ED9P-9	0X1.1886D25224F8AP-8	-0X1.B79CE55ED53CP-11	
-0X1.7032E087498CFP-5	0X1.3A0BCA4127ED9P-9	0X1.1886D25224F8AP-8	-0X1.B79CE55ED53CP-11	
0X1.31AACAF533EF6P+0	0X1.A6821A3BBE1B3P-3	-0X1.76201AD909A06P-5	-0X1.C9767D58C78CAP-6	
-0X1.251B349F12A3P-5	-0X1.7DA0FD518580DP-8	0X1.51EDCEA0F32BAP-10	0X1.9D337CF80C5FEP-11	
-0X1.251B349F12A3P-5	-0X1.7DA0FD518580DP-8	0X1.51EDCEA0F32BAP-10	0X1.9D337CF80C5FEP-11	
0X1.8E5E3A9E57F55P-2	-0X1.10F37BD708E18P-6	-0X1.A71E3C8C231C8P-8	0X1.B599354CFD3CAP-9	
0X1.8E5E353B07EC8P-2	-0X1.A1003C1FE5A34P-7	0X1.A8BCA9250AF9EP-7	0X1.4EB46BEE93494P-11	
0X1.188D5351CB078P-4	-0X1.F59FC0A5DBE45P-11	0X1.6BD6B7ECC7FA2P-8	-0X1.CEADA4533A7E4P-12	
0X1.188D50988035CP-4	-0X1.8CC30A4800F8BP-9	-0X1.3209FDFA36CC8P-8	0X1.0102986F5CC03P-10	
0X1.FD370C238F786P-5	0X1.EA8EA9830970CP-8	-0X1.B2633589BD76CP-10	-0X1.0991FC3527A5CP-10	
-0X1.41794567DF94P-6	0X1.C92FAFD6BD3E8P-13	-0X1.FBA1CBB469A3DP-10	0X1.696049F6D7871P-13	
-0X1.41794337B05F4P-6	0X1.F2198538E4424P-11	0X1.B7D7531EAF3F9P-10	-0X1.5A73373F2B27EP-12	
0X1.3490AB0D3AA4P-7	-0X1.251ABDF8FC49P-13	0X1.7FADC5CE59C12P-11	-0X1.D5B2B5CA5880AP-15	
0X1.3490A7D4925F2P-7	-0X1.AF7A507145FFEP-12	-0X1.3FB24BEF9AB4EP-11	0X1.11E2E1620CAF4P-13	
0X1.4592C23DB4DB3P+0	0X1.AE66CC934EC7AP-7	0X1.68C6EBC3C099CP-4	-0X1.78F311250C136P-7	
0X1.4592372149B58P+0	-0X1.6ABC70535D788P-6	-0X1.60990A189890AP-4	0X1.A0DF617BD4116P-7	
0X1.9AC1E2BFBC0D3P-2	0X1.173CA2307416AP-5	0X1.4CBB1CA3377F2P-6	-0X1.F1714B80E11A8P-8	
0X1.9ABEE8E01D3A9P-2	0X1.7D85ABF6F46D1P-6	-0X1.0E683E22FAEA6P-5	-0X1.6E1C79F41FB1P-13	
0X1.6269EAC0F75BCP-1	0X1.50BFCD27B71E3P-4	0X1.2493200E54F7P-6	-0X1.EAE2CC3E76ECAP-7	
0X1.6268E5DCD71D3P-1	0X1.177BF4D8B650EP-4	-0X1.A31FDCB7563B2P-5	-0X1.60A7B4C6BE3F4P-8	
0X1.042181D848EB5P-7	0X1.DC197F9DB92B8P-11	-0X1.A5960D37282P-13	-0X1.01BE491D6DAAFP-13	
-0X1.044B7F3F126D4P-6	-0X1.3661F6986F405P-9	0X1.12D76D1077D05P-11	0X1.500F849093FA7P-12	
0X1.9F6B7BD5B9D96P-1	0X1.BD9C37DA0C06DP-4	0X1.BEE9F8CAF6EEAP-8	-0X1.2759EFF232E79P-6	
0X1.9F6A642ACF846P-1	0X1.8C876BB722B5P-4	-0X1.ACB81DC9E303BP-5	-0X1.411B3979EB517P-7	
0X1.7D324A2CDD9E7P-8	-0X1.6DD5AEB4120DEP-14	0X1.D643F7807B6B4P-12	-0X1.1DC0F3C8ED71EP-15	
0X1.7D32462434453P-8	-0X1.09EE3849C1D2P-12	-0X1.87258975BB6ECP-12	0X1.505A972C4202P-14	
0X1.5F07E76007974P-8	0X1.3E274955ED2B6P-11	-0X1.19B996C936BB6P-13	-0X1.58794ADBCF5ECP-14	
0X1.20945122348E9P-1	0X1.050FA0DCC18P-5	-0X1.CDCBEF3D5C6FP-9	-0X1.336EDA05D6742P-8	
0X1.2092DE7B19F3BP-1	0X1.F3B342B637F79P-6	-0X1.50E474A351D26P-7	-0X1.EB852281FC898P-9	
-0X1.56C154E911B6AP-5	0X1.773400C35FE04P-11	-0X1.5E792A88AA49AP-8	0X1.E009F0496125BP-12	
-0X1.56C153B2BC1B2P-5	0X1.65815BB1DEF08P-9	0X1.2C8426203EA92P-8	-0X1.E45671A3EFEBCP-11	
